"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","137.00","133.96","137.35","133.71","61.53M","2.94%"
"10/31/2023","133.09","132.75","133.57","131.71","48.97M","0.29%"
"10/30/2023","132.71","129.72","133.00","128.56","72.03M","3.89%"
"10/27/2023","127.74","126.20","130.02","125.52","125.31M","6.83%"
"10/26/2023","119.57","120.63","121.64","118.35","83.67M","-1.50%"
"10/25/2023","121.39","126.04","126.34","120.79","72.53M","-5.58%"
"10/24/2023","128.56","127.74","128.80","126.34","44.47M","1.58%"
"10/23/2023","126.56","124.63","127.88","123.98","46.69M","1.11%"
"10/20/2023","125.17","128.05","128.17","124.97","56.41M","-2.52%"
"10/19/2023","128.40","130.57","132.24","127.47","59.61M","0.21%"
"10/18/2023","128.13","129.90","130.67","127.51","42.13M","-2.54%"
"10/17/2023","131.47","130.39","132.58","128.71","48.17M","-0.81%"
"10/16/2023","132.55","130.69","133.07","130.43","42.36M","2.13%"
"10/13/2023","129.79","132.98","133.31","128.95","45.83M","-1.92%"
"10/12/2023","132.33","132.17","134.48","131.23","54.96M","0.38%"
"10/11/2023","131.83","129.74","132.05","129.61","40.52M","1.81%"
"10/10/2023","129.48","128.82","130.74","128.05","40.37M","0.95%"
"10/09/2023","128.26","126.22","128.79","124.76","38.77M","0.23%"
"10/06/2023","127.96","124.16","128.45","124.13","46.84M","1.59%"
"10/05/2023","125.96","126.71","126.73","124.33","39.59M","-0.82%"
"10/04/2023","127.00","126.06","127.36","125.68","44.08M","1.83%"
"10/03/2023","124.72","128.06","128.52","124.25","50.20M","-3.66%"
"10/02/2023","129.46","127.28","130.47","126.54","48.03M","1.84%"
"09/29/2023","127.12","128.20","129.15","126.32","62.41M","0.90%"
"09/28/2023","125.98","124.04","126.58","123.04","53.84M","0.00%"
"09/27/2023","125.98","125.76","127.48","124.13","65.91M","0.00%"
"09/26/2023","125.98","130.12","130.39","125.28","70.26M","-4.03%"
"09/25/2023","131.27","129.36","131.78","128.77","45.42M","1.67%"
"09/22/2023","129.12","131.11","132.03","128.52","59.90M","-0.16%"
"09/21/2023","129.33","131.94","132.24","129.31","68.13M","-4.41%"
"09/20/2023","135.29","138.55","139.37","135.20","44.02M","-1.70%"
"09/19/2023","137.63","138.70","138.84","135.56","60.92M","-1.68%"
"09/18/2023","139.98","140.48","141.75","139.22","40.65M","-0.29%"
"09/15/2023","140.39","142.69","143.57","140.09","102.91M","-2.99%"
"09/14/2023","144.72","145.08","145.86","142.95","62.98M","-0.09%"
"09/13/2023","144.85","140.95","144.98","140.87","59.68M","2.56%"
"09/12/2023","141.23","142.32","143.00","140.61","41.88M","-1.31%"
"09/11/2023","143.10","138.75","143.62","138.64","56.36M","3.52%"
"09/08/2023","138.23","136.86","138.85","136.75","38.37M","0.28%"
"09/07/2023","137.85","133.90","138.03","133.16","46.10M","1.84%"
